FIPS,wkt_geom
01097,"30.19727,-88.06081 30.21832,-88.37437 30.21971,-88.37595 30.22109,-88.37698 30.22294,-88.37801 30.39489,-88.40147 30.73627,-88.41723 31.00051,-88.42918 31.12070,-88.43455 31.15252,-88.32829 31.17178,-87.99328 31.15555,-87.94279 31.15277,-87.93964 31.14725,-87.93707 30.94796,-87.92970 30.20124,-88.04964 30.19988,-88.05072 30.19854,-88.05286 30.19766,-88.05552 30.19727,-88.06081"
01099,"31.23661,-87.55109 31.23769,-87.56017 31.24847,-87.63003 31.24897,-87.63269 31.25811,-87.66032 31.25906,-87.66244 31.31091,-87.76357 31.31793,-87.77467 31.32258,-87.77993 31.33177,-87.78349 31.33997,-87.78278 31.82252,-87.51534 31.83377,-87.49834 31.84106,-87.21830 31.84082,-86.91254 31.75601,-86.91526 31.46408,-87.19566 31.32041,-87.36424 31.27133,-87.42496 31.23867,-87.53820 31.23661,-87.55109"
01101,"31.97283,-86.18813 31.97335,-86.30103 32.05918,-86.40090 32.28492,-86.48489 32.34411,-86.49894 32.35047,-86.49816 32.37117,-86.48815 32.37476,-86.48584 32.40684,-86.45801 32.41129,-86.45404 32.49092,-86.29982 32.50852,-86.26158 32.50976,-86.25718 32.42428,-86.01885 32.33485,-85.95816 32.29021,-85.93084 32.27748,-85.93195 31.97629,-86.00101 31.97283,-86.18813"
01103,"34.31003,-86.57996 34.31131,-86.72514 34.31433,-86.99882 34.31577,-87.11006 34.64693,-87.10373 34.68590,-87.09860 34.58672,-86.59352 34.58131,-86.57697 34.57279,-86.56333 34.55560,-86.54836 34.55009,-86.54633 34.31003,-86.57996"
01105,"32.31004,-87.46688 32.31201,-87.52650 32.66274,-87.51888 32.83314,-87.46985 32.87641,-87.41958 32.87349,-87.31258 32.83276,-87.01395 32.70432,-87.01470 32.59951,-87.03486 32.59680,-87.03603 32.51195,-87.09521 32.49221,-87.10995 32.48952,-87.11220 32.31101,-87.42021 32.31004,-87.46688"
01107,"32.98737,-88.33943 33.28877,-88.30479 33.53868,-88.27455 33.52860,-87.83411 33.15824,-87.83701 33.15599,-87.83924 33.05083,-88.03798 32.98869,-88.16876 32.98737,-88.33943"
01109,"31.62309,-85.79092 31.62456,-86.14111 31.62524,-86.17928 31.81622,-86.20051 31.97056,-86.18876 31.97283,-86.18813 32.05604,-85.99808 32.07048,-85.96390 32.07134,-85.94763 32.06247,-85.91232 32.05329,-85.89650 31.88267,-85.66341 31.79364,-85.66280 31.78278,-85.66548 31.63356,-85.73501 31.62608,-85.74343 31.62309,-85.79092"
01111,"33.11414,-85.59483 33.11694,-85.65061 33.49735,-85.64243 33.50745,-85.34438 33.50579,-85.33620 33.49049,-85.30503 33.12912,-85.23390 33.12001,-85.23355 33.11414,-85.59483"
01113,"32.06939,-85.05704 32.06985,-85.18636 32.15967,-85.42965 32.23964,-85.43317 32.41788,-85.43060 32.47443,-85.33035 32.51662,-85.06037 32.52033,-84.99268 32.26859,-84.89467 32.26406,-84.89385 32.25903,-84.89409 32.22613,-84.91594 32.06939,-85.05704"
01115,"33.40274,-86.37934 33.55800,-86.55395 33.76353,-86.58489 33.79537,-86.58481 33.98418,-86.27794 33.98536,-86.27124 33.98311,-86.20760 33.98205,-86.20210 33.96318,-86.17852 33.86140,-86.05833 33.85304,-86.05262 33.77672,-86.04106 33.77128,-86.04185 33.54500,-86.19292 33.50531,-86.23756 33.42034,-86.34013 33.40274,-86.37934"
01117,"33.03178,-86.55496 33.05753,-86.90284 33.06427,-86.91904 33.07333,-86.93737 33.10775,-86.96968 33.17395,-87.02020 33.25085,-87.01833 33.33763,-86.88865 33.47243,-86.68048 33.54805,-86.52126 33.54758,-86.48546 33.50792,-86.38067 33.37328,-86.35027 33.36001,-86.34805 33.30752,-86.35950 33.30167,-86.36192 33.12958,-86.46361 33.03228,-86.52155 33.03178,-86.55496"
01119,"32.30909,-88.42576 32.58034,-88.39380 32.92463,-88.34800 32.98737,-88.33943 32.98869,-88.16876 32.61654,-87.84834 32.60040,-87.83561 32.52446,-87.84535 32.51857,-87.84765 32.31701,-87.93372 32.30909,-88.42576"
01121,"33.10815,-86.39483 33.11112,-86.48898 33.18703,-86.50144 33.19426,-86.49897 33.40274,-86.37934 33.68498,-86.20247 33.68896,-86.19843 33.69195,-86.19168 33.69491,-86.18383 33.69740,-86.17544 33.67864,-86.04816 33.58514,-85.79378 33.55543,-85.79537 33.54110,-85.79749 33.30104,-85.97955 33.11012,-86.17333 33.10815,-86.39483"
01123,"32.50115,-85.88223 32.74841,-86.00572 33.06816,-86.00363 33.09319,-86.00307 33.11194,-85.97593 33.11694,-85.65061 33.11414,-85.59483 32.73122,-85.58968 32.59761,-85.69538 32.50211,-85.79895 32.50115,-85.88223"
01125,"33.01165,-87.41985 33.01660,-87.71194 33.03112,-87.82928 33.10408,-87.83759 33.52860,-87.83411 33.61877,-87.63314 33.60783,-87.36985 33.59047,-87.31685 33.28493,-87.05844 33.25265,-87.05999 33.01198,-87.31532 33.01165,-87.41985"
01127,"33.52040,-87.31660 33.69341,-87.52649 33.87218,-87.63815 33.91448,-87.63880 34.00722,-87.63770 34.00716,-87.18105 34.00649,-87.17053 33.99435,-87.11050 33.86035,-86.96799 33.84237,-86.95696 33.81505,-86.95564 33.80099,-86.95721 33.65939,-87.05671 33.55081,-87.19619 33.52680,-87.24757 33.52126,-87.26646 33.52040,-87.31660"
01129,"31.12070,-88.43455 31.70209,-88.46507 31.70027,-88.08943 31.53157,-87.92910 31.50019,-87.90447 31.49604,-87.90134 31.37073,-87.88558 31.36526,-87.88623 31.17328,-87.93710 31.17194,-87.93927 31.16977,-87.94733 31.15426,-88.01553 31.12327,-88.32657 31.12070,-88.43455"
